establishment_type,severity,inspection_date
Food Take Out,C - Crucial,2022-08-10
Food Take Out,S - Significant,2022-08-10
Food Take Out,S - Significant,2022-08-10
Food Take Out,S - Significant,2023-04-04
Food Take Out,S - Significant,2023-04-04
Food Take Out,S - Significant,2023-04-04
Food Take Out,C - Crucial,2023-04-04
Food Take Out,S - Significant,2023-04-04
Food Take Out,S - Significant,2023-10-31
Food Take Out,S - Significant,2023-10-31
Food Take Out,S - Significant,2023-06-20
Food Take Out,S - Significant,2023-06-20
Restaurant,S - Significant,2022-08-22
Restaurant,S - Significant,2022-08-22
Restaurant,S - Significant,2022-08-22
Food Processing Plant,S - Significant,2022-09-13
Food Processing Plant,S - Significant,2022-09-13
Food Caterer,S - Significant,2023-10-03
Community Kitchen (Meal Program),S - Significant,2023-10-05
Restaurant,S - Significant,2023-09-15
Restaurant,S - Significant,2022-10-07
Restaurant,S - Significant,2022-10-07
Restaurant,S - Significant,2023-08-09
Restaurant,S - Significant,2023-08-09
Restaurant,S - Significant,2023-08-09
Restaurant,S - Significant,2023-08-09
Restaurant,S - Significant,2023-12-21
Restaurant,S - Significant,2022-12-13
Restaurant,S - Significant,2023-02-22
Food Processing Plant,S - Significant,2022-09-22
Food Processing Plant,S - Significant,2022-09-22
Food Processing Plant,S - Significant,2022-09-22
Food Processing Plant,C - Crucial,2022-09-22
Restaurant,S - Significant,2023-01-19
Restaurant,S - Significant,2024-01-09
Restaurant,C - Crucial,2023-02-16
Restaurant,C - Crucial,2023-02-16
Restaurant,C - Crucial,2023-02-16
Restaurant,S - Significant,2023-07-31
Restaurant,S - Significant,2023-07-31
Restaurant,S - Significant,2022-06-13
Restaurant,S - Significant,2022-06-13
Restaurant,S - Significant,2022-06-13
Restaurant,S - Significant,2023-08-30
Restaurant,S - Significant,2023-08-30
Restaurant,S - Significant,2023-08-30
Restaurant,S - Significant,2023-08-28
Restaurant,S - Significant,2023-08-28
Restaurant,S - Significant,2023-08-28
Food Take Out,S - Significant,2023-08-24
Food Take Out,S - Significant,2023-08-24
Food Take Out,S - Significant,2023-08-24
Food Take Out,S - Significant,2023-08-24
Food Take Out,S - Significant,2023-08-24
Food Take Out,S - Significant,2023-04-25
Food Take Out,S - Significant,2023-04-25
Food Take Out,S - Significant,2023-04-25
Food Take Out,C - Crucial,2023-09-28
Food Take Out,S - Significant,2023-09-28
Food Take Out,S - Significant,2023-09-28
Food Take Out,S - Significant,2022-10-20
Food Take Out,S - Significant,2023-10-16
Food Take Out,S - Significant,2023-10-16
Food Take Out,S - Significant,2023-10-16
Food Take Out,S - Significant,2022-04-11
Food Take Out,S - Significant,2022-04-11
Food Take Out,S - Significant,2022-04-11
Food Bank,C - Crucial,2022-09-30
Food Bank,S - Significant,2022-09-30
Food Bank,S - Significant,2023-05-10
Food Take Out,S - Significant,2022-01-24
Restaurant,S - Significant,2023-08-25
Food Take Out,S - Significant,2023-10-27
Food Take Out,S - Significant,2022-05-20
Food Take Out,S - Significant,2022-05-20
Food Take Out,S - Significant,2022-05-20
Food Take Out,S - Significant,2022-11-22
Food Take Out,S - Significant,2022-11-22
Food Take Out,S - Significant,2022-11-22
Food Take Out,S - Significant,2023-07-26
Food Take Out,S - Significant,2023-04-26
Food Take Out,S - Significant,2023-04-18
Food Take Out,S - Significant,2023-04-18
Food Take Out,S - Significant,2023-04-18
Food Take Out,C - Crucial,2023-09-08
Food Take Out,S - Significant,2023-09-08
Restaurant,S - Significant,2023-04-25
Restaurant,S - Significant,2023-06-19
Food Store (Convenience/Variety),S - Significant,2022-07-11
Food Store (Convenience/Variety),S - Significant,2023-12-07
Food Store (Convenience/Variety),S - Significant,2023-12-07
Food Store (Convenience/Variety),S - Significant,2023-12-07
Restaurant,S - Significant,2023-12-12
Restaurant,S - Significant,2023-12-12
Restaurant,S - Significant,2023-08-30
Restaurant,S - Significant,2023-08-30
Restaurant,C - Crucial,2023-12-13
Restaurant,S - Significant,2023-12-13
Restaurant,S - Significant,2023-12-13
Restaurant,S - Significant,2023-01-31
Restaurant,S - Significant,2023-01-31
Community Kitchen (Meal Program),S - Significant,2023-10-18
Restaurant,S - Significant,2023-03-23
Restaurant,S - Significant,2023-03-23
Restaurant,S - Significant,2023-11-16
Restaurant,S - Significant,2023-11-16
Restaurant,S - Significant,2023-11-16
Restaurant,S - Significant,2022-06-21
Restaurant,S - Significant,2023-08-11
Restaurant,C - Crucial,2022-10-25
Restaurant,C - Crucial,2022-10-25
Restaurant,C - Crucial,2023-06-07
Restaurant,C - Crucial,2023-06-07
Restaurant,S - Significant,2023-06-07
Restaurant,C - Crucial,2022-08-19
Restaurant,S - Significant,2022-08-19
Restaurant,C - Crucial,2022-08-19
Restaurant,S - Significant,2023-03-20
Restaurant,S - Significant,2023-03-20
Restaurant,S - Significant,2023-07-24
Restaurant,S - Significant,2023-12-11
Community Kitchen (Meal Program),S - Significant,2023-02-14
Community Kitchen (Meal Program),S - Significant,2023-02-14
Community Kitchen (Meal Program),C - Crucial,2023-02-14
Community Kitchen (Meal Program),C - Crucial,2023-08-25
Community Kitchen (Meal Program),S - Significant,2023-08-25
Community Kitchen (Meal Program),S - Significant,2023-10-05
Community Kitchen (Meal Program),S - Significant,2023-10-05
Community Kitchen (Meal Program),S - Significant,2022-01-25
Food Court Vendor,S - Significant,2023-01-31
Restaurant,S - Significant,2022-10-26
Restaurant,S - Significant,2022-10-26
Restaurant,S - Significant,2023-04-26
Restaurant,S - Significant,2023-04-26
Restaurant,S - Significant,2023-11-16
Restaurant,S - Significant,2023-11-16
Restaurant,S - Significant,2023-03-27
Restaurant,S - Significant,2023-12-19
Restaurant,S - Significant,2022-11-01
Food Take Out,S - Significant,2022-06-20
Food Take Out,C - Crucial,2023-06-30
Food Take Out,S - Significant,2023-06-30
Restaurant,S - Significant,2022-05-13
Restaurant,S - Significant,2023-06-19
Restaurant,S - Significant,2023-06-19
Food Store (Convenience/Variety),S - Significant,2022-06-27
Supermarket,S - Significant,2023-05-08
Supermarket,S - Significant,2023-05-08
Food Store (Convenience/Variety),S - Significant,2023-03-15
Food Take Out,S - Significant,2023-08-29
Food Take Out,S - Significant,2023-08-30
Food Take Out,S - Significant,2023-08-30
Cocktail Bar / Beverage Room,S - Significant,2023-04-20
Cocktail Bar / Beverage Room,S - Significant,2023-08-31
Restaurant,S - Significant,2023-08-30
Restaurant,S - Significant,2023-08-30
Food Bank,S - Significant,2022-02-25
Food Bank,S - Significant,2022-02-25
Restaurant,S - Significant,2022-08-02
Restaurant,S - Significant,2022-05-25
Restaurant,S - Significant,2023-03-02
Restaurant,C - Crucial,2023-08-21
Restaurant,C - Crucial,2023-08-21
Restaurant,S - Significant,2023-08-21
Restaurant,S - Significant,2023-08-21
Restaurant,S - Significant,2023-08-21
Food Take Out,S - Significant,2022-06-15
Food Take Out,S - Significant,2022-06-15
Restaurant,S - Significant,2022-11-18
Food Court Vendor,S - Significant,2022-01-21
Restaurant,S - Significant,2023-10-17
Restaurant,S - Significant,2023-10-17
Restaurant,S - Significant,2024-01-04
Restaurant,S - Significant,2022-05-13
Restaurant,S - Significant,2022-06-14
Restaurant,S - Significant,2023-10-10
Restaurant,S - Significant,2022-05-09
Restaurant,S - Significant,2023-06-13
Restaurant,S - Significant,2023-11-09
Restaurant,S - Significant,2023-06-27
Restaurant,S - Significant,2023-06-27
Restaurant,S - Significant,2023-06-27
Retirement Homes(Licensed),S - Significant,2023-05-11
Retirement Homes(Licensed),S - Significant,2023-02-01
Retirement Homes(Licensed),S - Significant,2023-02-01
Restaurant,S - Significant,2022-08-18
Restaurant,S - Significant,2022-08-18
Restaurant,S - Significant,2022-06-27
Restaurant,S - Significant,2022-06-27
Restaurant,C - Crucial,2022-06-27
Restaurant,S - Significant,2022-06-27
Restaurant,C - Crucial,2022-06-27
Restaurant,S - Significant,2022-10-07
Restaurant,S - Significant,2022-10-07
Restaurant,S - Significant,2022-10-07
Restaurant,S - Significant,2022-10-07
Restaurant,C - Crucial,2022-10-07
Restaurant,S - Significant,2022-10-07
Restaurant,S - Significant,2022-10-07
Restaurant,S - Significant,2023-08-03
Restaurant,S - Significant,2023-08-03
Restaurant,S - Significant,2023-11-22
Restaurant,S - Significant,2023-04-18
Food Court Vendor,C - Crucial,2022-04-12
Restaurant,S - Significant,2023-01-24
Food Take Out,S - Significant,2023-06-20
Food Take Out,S - Significant,2022-06-08
Food Take Out,S - Significant,2023-12-27
Restaurant,S - Significant,2023-02-09
Food Store (Convenience/Variety),S - Significant,2022-09-16
Food Store (Convenience/Variety),S - Significant,2022-09-16
Food Store (Convenience/Variety),S - Significant,2023-04-18
Food Store (Convenience/Variety),S - Significant,2023-04-18
Food Store (Convenience/Variety),S - Significant,2023-04-18
Restaurant,S - Significant,2022-11-04
Restaurant,S - Significant,2022-05-27
Restaurant,S - Significant,2022-09-21
Restaurant,S - Significant,2023-01-23
Restaurant,S - Significant,2022-04-01
Restaurant,S - Significant,2022-10-05
Restaurant,S - Significant,2023-01-16
Bakery,S - Significant,2023-03-30
Food Take Out,S - Significant,2023-07-12
Food Take Out,S - Significant,2023-07-12
Food Take Out,S - Significant,2023-07-12
Food Take Out,S - Significant,2023-07-12
Food Take Out,C - Crucial,2023-07-12
Food Take Out,S - Significant,2023-07-12
Food Take Out,C - Crucial,2023-07-12
Food Take Out,C - Crucial,2022-06-08
Food Take Out,C - Crucial,2022-06-08
Food Take Out,S - Significant,2022-06-08
Food Take Out,S - Significant,2022-06-08
Food Take Out,S - Significant,2022-06-08
Food Take Out,S - Significant,2022-06-08
Fish Shop,S - Significant,2023-11-27
Child Care - Food Preparation,S - Significant,2023-09-15
Child Care - Food Preparation,S - Significant,2023-09-15
Restaurant,S - Significant,2023-12-06
Bakery,S - Significant,2022-05-12
Restaurant,S - Significant,2022-09-28
Restaurant,C - Crucial,2023-04-25
Restaurant,S - Significant,2023-04-25
Restaurant,S - Significant,2023-04-25
Child Care - Catered,S - Significant,2023-03-21
Food Take Out,S - Significant,2023-07-20
Restaurant,S - Significant,2024-01-09
Restaurant,S - Significant,2023-07-28
Restaurant,S - Significant,2023-11-30
Food Caterer,S - Significant,2023-06-14
Food Take Out,S - Significant,2022-09-15
Food Take Out,S - Significant,2022-09-15
Food Take Out,S - Significant,2022-09-15
Food Take Out,S - Significant,2022-09-15
Food Take Out,C - Crucial,2022-09-15
Food Take Out,S - Significant,2022-09-15
Food Take Out,S - Significant,2022-09-15
Food Take Out,C - Crucial,2022-09-15
Food Take Out,S - Significant,2023-02-13
Serving Kitchen,S - Significant,2023-08-16
Restaurant,S - Significant,2022-08-16
Restaurant,S - Significant,2023-12-13
Food Caterer,S - Significant,2023-11-24
Restaurant,C - Crucial,2023-04-11
Restaurant,C - Crucial,2023-04-11
Restaurant,S - Significant,2022-05-11
Restaurant,S - Significant,2023-03-31
Food Take Out,S - Significant,2023-08-02
Food Take Out,C - Crucial,2023-08-02
Restaurant,S - Significant,2022-05-09
Restaurant,S - Significant,2022-05-09
Restaurant,S - Significant,2022-05-09
Restaurant,S - Significant,2022-05-09
Restaurant,S - Significant,2022-05-09
Restaurant,S - Significant,2022-05-09
Restaurant,C - Crucial,2022-05-09
Restaurant,S - Significant,2023-04-03
Restaurant,S - Significant,2023-08-16
Restaurant,S - Significant,2023-08-16
Restaurant,S - Significant,2023-08-16
Restaurant,S - Significant,2023-04-28
Restaurant,S - Significant,2022-10-14
Restaurant,S - Significant,2023-12-05
Restaurant,C - Crucial,2023-12-05
Restaurant,S - Significant,2022-11-17
Restaurant,S - Significant,2023-07-28
Restaurant,S - Significant,2023-11-30
Food Take Out,S - Significant,2022-08-15
Retirement Homes(Licensed),S - Significant,2022-06-08
Food Take Out,S - Significant,2023-05-25
Food Take Out,S - Significant,2023-05-25
Food Take Out,S - Significant,2023-05-25
Food Take Out,S - Significant,2023-11-16
Restaurant,S - Significant,2022-05-30
Restaurant,S - Significant,2022-05-30
Restaurant,S - Significant,2022-05-30
Restaurant,S - Significant,2022-05-30
Restaurant,S - Significant,2023-05-03
Restaurant,S - Significant,2023-05-03
Restaurant,S - Significant,2023-11-08
Restaurant,S - Significant,2023-11-08
Restaurant,S - Significant,2022-03-04
Supermarket,S - Significant,2022-09-08
Supermarket,S - Significant,2023-12-22
Supermarket,S - Significant,2023-12-22
Restaurant,S - Significant,2022-05-04
Restaurant,S - Significant,2022-05-04
Restaurant,S - Significant,2022-07-11
Food Store (Convenience/Variety),S - Significant,2022-11-22
Supermarket,C - Crucial,2022-09-14
Supermarket,S - Significant,2022-09-14
Supermarket,S - Significant,2022-09-14
Supermarket,C - Crucial,2022-09-14
Supermarket,S - Significant,2023-02-07
Restaurant,S - Significant,2023-09-08
Restaurant,S - Significant,2023-02-28
Supermarket,S - Significant,2022-06-07
Supermarket,S - Significant,2022-06-07
Supermarket,S - Significant,2022-06-07
Supermarket,S - Significant,2022-06-07
Supermarket,S - Significant,2022-06-07
Supermarket,C - Crucial,2022-06-07
Supermarket,S - Significant,2022-06-07
Supermarket,C - Crucial,2022-06-07
Supermarket,S - Significant,2023-06-08
Supermarket,S - Significant,2023-06-08
Supermarket,C - Crucial,2023-06-08
Restaurant,S - Significant,2023-02-02
Restaurant,S - Significant,2023-11-24
Restaurant,S - Significant,2023-11-07
Restaurant,S - Significant,2023-01-27
Restaurant,S - Significant,2023-01-27
Restaurant,S - Significant,2023-05-03
Restaurant,S - Significant,2022-06-09
Restaurant,S - Significant,2023-04-17
Restaurant,S - Significant,2023-04-17
Restaurant,C - Crucial,2022-03-11
Restaurant,S - Significant,2022-03-11
Restaurant,S - Significant,2022-03-11
Restaurant,S - Significant,2022-09-09
Food Take Out,S - Significant,2023-03-20
Food Take Out,S - Significant,2023-06-22
Food Store (Convenience/Variety),S - Significant,2023-06-09
Food Take Out,S - Significant,2023-02-23
Food Take Out,S - Significant,2023-07-24
Food Take Out,S - Significant,2023-03-08
Food Take Out,S - Significant,2023-11-20
Food Take Out,C - Crucial,2023-11-20
Restaurant,S - Significant,2023-05-31
Restaurant,S - Significant,2023-05-31
Restaurant,S - Significant,2023-09-28
Food Take Out,S - Significant,2023-10-27
Restaurant,C - Crucial,2022-09-08
Restaurant,S - Significant,2022-09-08
Restaurant,S - Significant,2022-09-08
Restaurant,C - Crucial,2023-11-29
Restaurant,S - Significant,2023-11-29
Food Store (Convenience/Variety),S - Significant,2022-07-15
Food Store (Convenience/Variety),S - Significant,2022-07-15
Food Store (Convenience/Variety),C - Crucial,2022-07-15
Restaurant,S - Significant,2022-05-13
Restaurant,S - Significant,2022-05-13
Restaurant,S - Significant,2023-01-05
Restaurant,C - Crucial,2023-11-15
Restaurant,S - Significant,2023-11-15
Restaurant,S - Significant,2023-11-15
Restaurant,S - Significant,2022-09-16
Restaurant,S - Significant,2023-03-02
Restaurant,S - Significant,2023-07-25
Restaurant,S - Significant,2022-07-11
Restaurant,S - Significant,2023-12-04
Restaurant,S - Significant,2023-12-04
Restaurant,S - Significant,2022-09-26
Restaurant,S - Significant,2023-02-27
Food Processing Plant,S - Significant,2022-11-24
Food Processing Plant,S - Significant,2024-01-03
Restaurant,S - Significant,2022-05-10
Restaurant,S - Significant,2023-06-22
Restaurant,S - Significant,2023-06-22
Restaurant,S - Significant,2023-12-14
Food Take Out,S - Significant,2023-07-24
Food Take Out,S - Significant,2023-07-24
Restaurant,S - Significant,2022-11-22
Restaurant,S - Significant,2022-11-22
Restaurant,S - Significant,2022-09-02
Restaurant,S - Significant,2022-10-04
Restaurant,S - Significant,2022-10-04
Restaurant,S - Significant,2023-06-20
Restaurant,C - Crucial,2023-06-20
Restaurant,S - Significant,2023-06-20
Restaurant,C - Crucial,2023-06-20
Restaurant,S - Significant,2022-08-23
Restaurant,S - Significant,2023-07-21
Restaurant,S - Significant,2023-07-21
Food Store (Convenience/Variety),S - Significant,2022-07-28
Food Store (Convenience/Variety),C - Crucial,2022-07-28
Restaurant,S - Significant,2023-10-26
Restaurant,S - Significant,2023-10-26
Restaurant,C - Crucial,2023-01-09
Restaurant,S - Significant,2023-01-09
Restaurant,S - Significant,2023-07-17
Butcher Shop,S - Significant,2022-05-11
Butcher Shop,S - Significant,2022-05-11
Food Take Out,S - Significant,2022-07-13
Food Take Out,S - Significant,2022-07-13
Food Take Out,C - Crucial,2022-07-13
Food Take Out,S - Significant,2022-07-13
Food Take Out,S - Significant,2023-07-06
Restaurant,S - Significant,2022-05-20
Restaurant,S - Significant,2022-11-29
Restaurant,S - Significant,2022-11-29
Food Store (Convenience/Variety),S - Significant,2022-08-30
Food Store (Convenience/Variety),S - Significant,2022-08-30
Food Take Out,S - Significant,2022-08-11
Food Take Out,S - Significant,2022-08-11
Food Take Out,S - Significant,2022-08-11
Food Take Out,S - Significant,2023-08-31
Butcher Shop,C - Crucial,2022-01-25
Butcher Shop,S - Significant,2022-01-25
Butcher Shop,S - Significant,2023-02-16
Food Take Out,S - Significant,2022-09-12
Food Take Out,S - Significant,2022-09-12
Food Take Out,S - Significant,2022-09-12
Restaurant,C - Crucial,2022-03-07
Restaurant,S - Significant,2022-03-07
Restaurant,S - Significant,2022-03-07
Restaurant,S - Significant,2023-04-12
Restaurant,S - Significant,2023-12-22
Restaurant,S - Significant,2023-12-22
Butcher Shop,S - Significant,2022-02-22
Butcher Shop,S - Significant,2022-06-17
Butcher Shop,S - Significant,2022-06-17
Butcher Shop,S - Significant,2022-06-17
Butcher Shop,S - Significant,2023-03-29
Butcher Shop,C - Crucial,2023-03-29
Butcher Shop,S - Significant,2023-03-29
Butcher Shop,C - Crucial,2023-03-29
Butcher Shop,S - Significant,2023-03-29
Butcher Shop,S - Significant,2023-03-29
Butcher Shop,C - Crucial,2023-07-24
Butcher Shop,S - Significant,2023-07-24
Butcher Shop,S - Significant,2023-07-24
Butcher Shop,S - Significant,2023-07-24
Butcher Shop,S - Significant,2023-07-24
Butcher Shop,S - Significant,2023-07-24
Butcher Shop,C - Crucial,2023-08-18
Butcher Shop,S - Significant,2023-08-18
Butcher Shop,S - Significant,2023-08-18
Butcher Shop,S - Significant,2023-11-20
Butcher Shop,S - Significant,2023-11-20
Restaurant,S - Significant,2023-05-03
Restaurant,S - Significant,2023-05-03
Private Club,S - Significant,2022-05-19
Private Club,S - Significant,2022-05-19
Restaurant,S - Significant,2022-11-03
Restaurant,S - Significant,2022-11-03
Restaurant,S - Significant,2022-11-03
Restaurant,S - Significant,2023-08-01
Supermarket,S - Significant,2023-10-18
Restaurant,C - Crucial,2022-06-15
Restaurant,S - Significant,2023-02-02
Restaurant,S - Significant,2023-02-02
Food Take Out,S - Significant,2023-01-20
Food Take Out,S - Significant,2023-01-20
Food Take Out,S - Significant,2023-01-20
Food Take Out,S - Significant,2023-11-20
Food Take Out,S - Significant,2023-11-20
Food Store (Convenience/Variety),S - Significant,2022-10-24
Community Kitchen (Meal Program),S - Significant,2022-09-29
Restaurant,S - Significant,2022-08-15
Restaurant,S - Significant,2023-01-18
Food Take Out,C - Crucial,2022-04-19
Food Take Out,S - Significant,2022-04-19
Food Take Out,S - Significant,2022-04-19
Food Take Out,S - Significant,2022-04-19
Food Take Out,S - Significant,2022-04-19
Food Take Out,S - Significant,2023-03-27
Food Take Out,C - Crucial,2023-11-29
Food Take Out,S - Significant,2023-11-29
Restaurant,S - Significant,2023-07-11
Restaurant,S - Significant,2023-11-10
Restaurant,S - Significant,2023-11-10
Restaurant,S - Significant,2023-11-10
Restaurant,S - Significant,2023-11-10
